views,price,floor,kitchen_area,living_area,total_floors,rooms,ceiling_height,total_area,year_built,latitude,longitude,address,floor_ratio,type_vtorichka,type_novostroyki,balcony_lodzhiya,balcony_balkon,balcony_net,bathroom_sovmeschennyy,bathroom_razdelnyy,bathroom_,house_type_kirpichnyy,house_type_monolitnyy,house_type_monolitno-kirpichnyy,house_type_blochnyy,house_type_panelnyy,house_type_derevyannyy,repair_trebuet_remonta,repair_evro,repair_kosmeticheskiy,repair_dizaynerskiy,repair_neizvestnyy,finishing_neizvestnyy,finishing_predchistovaya,finishing_bez_otdelki,finishing_chistovaya,furniture_net,furniture_kuhnya,furniture_hranenie_odezhdy,furniture_spalnye_mesta,parking_podzemnaya,parking_otkrytaya_vo_dvore,parking_za_shlagbaumom_vo_dvore,parking_nazemnaya_mnogourovnevaya,parking_net,technique_net,technique_stiralnaya_mashina,technique_holodilnik,technique_konditsioner,technique_posudomoechnaya_mashina,technique_vodonagrevatel,price_per_sqm,geometry,Kindergarten,School,Mall,Playground,Theatre,Supermarket,Subway Entrance,Bus Stop,Park,Square,Sports Centre,Hospital,Highway,Parking
1164,5700000,1,7.1,44.1,5.0,3.0,2.7,59.0,1969.0,55.82055664,49.05558777,"Республика Татарстан (Татарстан), Казань, Краснококшайская ул., 168",0.2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,96610.16949152542,POINT (49.05558777 55.82055664),3,1,0,4,0,2,0,2,1,0,0,0,141,1
1302,3750000,2,,,2.0,0.0,2.7,11.2,,55.77875495239853,49.114239168471485,"Республика Татарстан (Татарстан), Казань, ул. Габдуллы Тукая, 62А",1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,334821.4285714286,POINT (49.114239168471485 55.77875495239853),1,2,0,6,1,3,0,8,5,0,0,1,255,6
3260,3800000,3,,14.1,3.0,0.0,2.7,24.5,2019.0,55.80949820568162,49.43166886526736,"Республика Татарстан, Пестречинский р-н, Шигалеевское сельское поселение, с. Новое Шигалеево, ул. Габдуллы Тукая, 5",1.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,155102.04081632654,POINT (49.43166886526736 55.80949820568162),0,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,11300000,16,22.4,26.6,26.0,2.0,2.7,68.7,,55.79212296448758,49.18426710389961,"Республика Татарстан (Татарстан), Казань, жилой район Седьмое Небо",0.6153846153846154,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,164483.26055312954,POINT (49.18426710389961 55.79212296448758),1,0,0,8,0,0,0,2,0,0,0,1,146,10
971,18760000,3,11.6,33.7,9.0,2.0,2.8,63.9,2004.0,55.78075139183471,49.13867309351893,"Республика Татарстан (Татарстан), Казань, ул. Тихомирнова, 7",0.3333333333333333,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,293583.72456964006,POINT (49.13867309351893 55.78075139183471),0,0,0,3,2,2,0,1,3,0,0,1,208,5
456,16750000,15,11.5,44.0,17.0,3.0,2.7,70.4,2016.0,55.8184166,49.06511688,"Республика Татарстан, Казань, ул. Галимджана Баруди, 4",0.8823529411764706,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,237926.13636363635,POINT (49.06511688 55.8184166),1,2,2,4,0,5,0,2,0,0,0,0,143,3
180,7000000,3,8.2,19.4,14.0,1.0,2.5,35.4,1979.0,55.75386429,49.16604233,"Республика Татарстан, Казань, ул. Латышских Стрелков, 39",0.21428571428571427,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,197740.1129943503,POINT (49.16604233 55.75386429),1,1,0,3,0,0,0,4,1,0,0,1,94,1
4537,3875000,2,13.6,,3.0,1.0,2.7,40.5,2021.0,55.70951,49.328397,"Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 15-й квартал, 8",0.6666666666666666,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,95679.01234567902,POINT (49.328397 55.70951),0,0,0,0,0,0,0,0,0,0,0,0,1,0
320,6599999,11,9.0,16.0,19.0,1.0,2.8,31.0,2021.0,55.80206299207974,49.23890186759576,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Александра Курынова, 10к1",0.5789473684210527,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,212903.1935483871,POINT (49.23890186759576 55.80206299207974),3,1,0,12,0,3,0,0,1,0,0,0,169,19
129,8700000,2,7.0,32.0,5.0,2.0,2.7,49.0,,55.79826355,49.1895256,"р-н Советский, Республика Татарстан, Казань, ул. Космонавтов, 18",0.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,177551.02040816325,POINT (49.1895256 55.79826355),0,3,0,5,0,2,0,1,0,0,0,0,160,8
621,6500000,8,7.2,26.4,9.0,2.0,2.6,42.1,2018.0,55.841382,49.039031,"Республика Татарстан (Татарстан), Казань, Ютазинская ул., 6Бк1",0.8888888888888888,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,154394.29928741092,POINT (49.039031 55.841382),1,2,0,0,0,1,1,0,0,0,0,0,43,0
99,23500000,2,11.7,67.1,7.0,3.0,2.5,93.0,2009.0,55.786687624913895,49.15448273385701,"Республика Татарстан (Татарстан), Казань, ул. Зинина, 34",0.2857142857142857,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,252688.17204301077,POINT (49.15448273385701 55.786687624913895),1,2,0,6,0,3,0,2,1,0,0,0,181,11
889,13999000,16,9.2,36.2,18.0,2.0,2.7,59.1,,55.78490037301211,49.216547839458926,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Петра Полушкина, 4",0.8888888888888888,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,236869.71235194584,POINT (49.216547839458926 55.78490037301211),2,0,0,3,0,1,0,0,0,0,0,0,155,5
580,11499000,5,11.0,,8.0,2.0,3.0,49.5,2016.0,55.73680115,49.20405197,"Республика Татарстан, Казань, Приволжский район, мкр-н Горки-3, Дубравная ул., 28А",0.625,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,232303.0303030303,POINT (49.20405197 55.73680115),1,1,0,24,0,4,0,2,0,0,0,0,185,5
412,7500000,12,12.0,,18.0,2.0,2.7,63.8,2021.0,55.858397,48.902883,"р-н Кировский, Республика Татарстан, Казань, пр-т Ильгама Шакирова, 15/6",0.6666666666666666,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,117554.85893416929,POINT (48.902883 55.858397),3,1,0,1,0,3,0,2,1,0,0,0,38,10
459,5649000,4,6.0,30.9,4.0,2.0,2.7,44.6,1962.0,55.86504745,49.09431458,"Республика Татарстан, Казань, Малая Печёрская ул., 6",1.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,126659.1928251121,POINT (49.09431458 55.86504745),4,2,0,6,0,5,0,3,0,0,0,0,101,5
419,6500000,9,11.8,15.0,10.0,1.0,2.5,38.3,1999.0,55.769707,49.232376,"Республика Татарстан (Татарстан), Казань, ул. Юлиуса Фучика, 106А",0.9,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,169712.79373368146,POINT (49.232376 55.769707),2,2,0,3,0,4,0,4,1,0,0,0,103,1
2409,15350000,3,12.0,46.0,24.0,3.0,2.7,71.1,2020.0,55.76316833,49.19129562,"Республика Татарстан, Казань, ул. Родины, 26Е",0.125,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,215893.1082981716,POINT (49.19129562 55.76316833),1,0,0,16,0,1,0,0,0,0,0,0,151,26
461,7300000,16,,,19.0,0.0,2.7,30.4,2019.0,55.72425744881197,49.17489007666487,"Республика Татарстан (Татарстан), Казань, ул. Рауиса Гареева, 111к2",0.8421052631578947,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,240131.57894736843,POINT (49.17489007666487 55.72425744881197),1,1,0,9,0,4,0,5,0,0,0,0,89,9
3043,11999990,10,8.2,52.8,10.0,4.0,2.7,74.6,1995.0,55.7461319,49.18986893,"Республика Татарстан, Казань, ул. Академика Парина, 6",1.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,160857.77479892762,POINT (49.18986893 55.7461319),3,0,1,5,0,2,0,3,1,0,0,0,160,11
